,Name,Price,Brand
0,New York Face Studio Master Chrome Metallic Highlighter - Molten Gold,Rs. 479,Maybelline
1,MegaGlo Contouring Sustainable Palette - Dulce De Leche E7491 12.5 g,Rs. 389,Wet n Wild
2,Face Sheer Blusher- Desert Rose 4g,Rs. 361,Lakme
3,New York Fit Me Blush- 16 Rosy Nude,Rs. 352,Maybelline
4,Contour De Force Face Palette - 02 Vivid Victory,Rs. 799,SUGAR
5,MegaGlo Highlighting Powder - Precious Petals,Rs. 454,Wet n Wild
6,Face Studio Master Chrome Metallic Highlighter - Molten Rose Gold 050 6.5g,Rs. 509,Maybelline
7,Blusher Reloaded - Rose Kiss 7.5g,Rs. 385,Makeup Revolution London
8,Ultime Pro Face Palette - 01 Fresh 12 g,Rs. 674,FACES CANADA
9,Contour De Force Face Pallete- 01 Subtle Summit 12 gms,Rs. 799,SUGAR
10,Round Blusher - 03,Rs. 295,Miss Claire
11,Sustainable Color Icon Blush - Mellow Wine,Rs. 324,Wet n Wild
12,Face Sheer Blusher - Sun Kissed 4g,Rs. 361,Lakme
13,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe),Rs. 399,SUGAR
14,New York Fit Me Blush - Nude Peach,Rs. 308,Maybelline
15,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose,Rs. 799,SUGAR
16,Matte Bronzer Caramel - Medium Deep Bronzer,Rs. 3100,Benefit Cosmetics
17,9-to-5 Pure Rouge Blusher - Nude Flush 6g,Rs. 425,Lakme
18,Cosmetics Face Fwd Blush Stick -02 Pink Prime 7gm,Rs. 799,SUGAR
19,Blusher Reloaded - Ballerina,Rs. 357,Makeup Revolution London
20,Contour De Force Face Palette - 03 Fierce Feat 12 gm,Rs. 799,SUGAR
21,Sustainable Color Icon Ombre Blush - Mai Tai Buy You A Drink,Rs. 357,Wet n Wild
22,Tawny Blush,Rs. 3600,Bobbi Brown
23,Cosmetics Face Fwd Contour Stick - 02 Espresso Edge 9gm,Rs. 799,SUGAR
24,Blush - Apricot 6 3.7g,Rs. 3600,Bobbi Brown
25,Cheekillusion Blush - Rosey Peach 013 4 g,Rs. 452,Colorbar
26,9to5 Pure Rouge Blusher - Coral Punch,Rs. 425,Lakme
27,Cheekillusion Blush - Coral Craving 009 4g,Rs. 472,Colorbar
28,Pink Butter Blush 11 g,Rs. 551,Daily Life Forever52
29,Women Cheekillusion Blush - Pink Pinch 008 4g,Rs. 405,Colorbar
30,Contour De Force Mini Bronzer- Woody Wonder 02 (Warm Brown),Rs. 399,SUGAR
31,MegaGlo Highlighting Powder - Blossom Glow,Rs. 482,Wet n Wild
32,Women 9 to 5 Pure Rouge Blusher - Pretty Pink 6g,Rs. 425,Lakme
33,Baked Multi Blusher -Shade-1,Rs. 209,SWISS BEAUTY
34,Sustainable Color Icon Blush - Pinch Me Pink 6 g,Rs. 324,Wet n Wild
35,Cosmetics Glow And Behold Jelly Highlighter 02 Peach Pioneer (Peach Pink Gold) 3g,Rs. 499,SUGAR
36,Women Color Icon Bronzer-What Shady Beaches 11g,Rs. 422,Wet n Wild
37,Cheek Illusion Blush - Everything's Rosy 010 6g,Rs. 607,Colorbar
38,Round Blusher - 06,Rs. 295,Miss Claire
39,Face Fwd Blush Stick - Mauve Marvel (Plum) 7g,Rs. 799,SUGAR
40,Strobing Powder - 4,Rs. 276,Miss Claire
41,Highlighting Powder - Bronze Glow 8g,Rs. 4250,Bobbi Brown
42,Contour De Force Mini Highlighter - 03 Metal Medal - 4 g,Rs. 399,SUGAR
43,Women Blusher Reloaded - Pop My Cherry 7.5 g,Rs. 385,Makeup Revolution London
44,Cosmetics Face Fwd Highlighter Stick - 03 Bronze Bellwether (Warm Gold),Rs. 799,SUGAR
45,Paris Le Blush Bar Highlighter - Be Brave 16,Rs. 637,LOreal
46,Cosmetics Face Fwd Highlighter Stick - 01 Champagne Champion 7.5 g,Rs. 799,SUGAR
47,Metallics Body Shimmer - Miss Reflective 4 g,Rs. 330,Colorbar
48,Paris Le Blush Bar Highlighter - Play With Me 10 4.5 g,Rs. 615,LOreal
49,Benefits Cosmetics Hoola Matte Powder Bronzer-Original,Rs. 3100,Benefit Cosmetics
50,Glam On Perfect Blush - Coral Pink 01,Rs. 475,FACES CANADA
51,Fusion Highlighter - 06,Rs. 209,SWISS BEAUTY
52,Women Velvet Touch Creamy Stick Blush 02,Rs. 1090,KIKO MILANO
53,Women Champagne Glow And Behold Jelly Highlighter - 01 Gold Goal,Rs. 499,SUGAR
54,Sustainable Color Icon Blush - Nudist Society 1111554E 6 g,Rs. 324,Wet n Wild
55,Cosmetics Face Fwd Blush Stick - 01 Coral Climax (Bright Coral),Rs. 799,SUGAR
56,Cheekillusion Blush - Bronzing Glaze 011 4g,Rs. 459,Colorbar
57,Perfecting Blush Hot Pink 02 5g,Rs. 475,FACES CANADA
58,Powder Blush - Melba,Rs. 2500,M.A.C
59,Cheekillusion Blush - Coral Bliss 014 4g,Rs. 465,Colorbar
60,Highlighter Palette - 04,Rs. 279,SWISS BEAUTY
61,20 Round Blusher,Rs. 295,Miss Claire
62,Round Powder Blusher - 17,Rs. 280,Miss Claire
