,Name,Image,Shade,Color
0,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
1,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
2,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
3,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
4,New York Fit Me Matte+Poreless Liquid Foundation  128 Warm Nude 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
5,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Coral.jpg,Natural Coral,"[[242.0, 197.0, 152.0]]"
6,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Shell.jpg,Natural Shell,"[[238.21708185053382, 185.28113879003558, 126.31672597864768]]"
7,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Marble.jpg,Natural Marble,"[[243.08839779005524, 202.4696132596685, 156.08839779005524]]"
8,Perfecting Liquid Foundation  Natural Marble 27ml,Perfecting Liquid Foundation - Natural Marble 27ml-Natural Pearl.jpg,Natural Pearl,"[[201.0, 148.0, 102.5]]"
9,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
10,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
11,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
12,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Warm Nude 128.jpg,Warm Nude 128,"[[250.0, 207.0, 175.0]]"
13,New York Fit Me! Matte+Poreless Liquid Foundation  Natural Beige 220 30ml,New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml-Natural Beige.jpg,Natural Beige,"[[252.41666666666669, 186.53947368421052, 149.12280701754386]]"
14,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Rich Caramel.jpg,Rich Caramel,"[[229.0, 190.0, 152.0]]"
15,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Golden Beige.jpg,Golden Beige,"[[232.0, 206.0, 183.0]]"
16,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Creamy Beige N4.jpg,Creamy Beige N4,"[[216.0, 179.0, 159.99999999999994]]"
17,Paris True Match Liquid Foundation  N1 Ivory 30ml,Paris True Match Liquid Foundation - N1 Ivory 30ml-Ivory.jpg,Ivory,"[[243.0, 219.0, 187.0]]"
18,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-115 Ivory.jpg,115 Ivory,"[[249.0, 212.0, 190.0]]"
19,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Classic Ivory.jpg,Classic Ivory,"[[252.0, 208.0, 178.0]]"
20,New York Fit Me Matte+Poreless Liquid Foundation  120 Classic Ivory 30ml,New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml-Natural Tan.jpg,Natural Tan,"[[245.0, 180.0, 152.0]]"
