Name,Color,Image,RGB,Undertone
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[103.0, 26.0, 20.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Divine Wine.jpg,"[103.0, 26.0, 20.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[223.0, 42.0, 73.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Flaming Fuchsia.jpg,"[223.0, 42.0, 73.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[214.04133333333328, 76.3573333333333, 61.41666666666667]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Chilli Nude.jpg,"[214.04133333333328, 76.3573333333333, 61.41666666666667]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[160.0, 26.0, 25.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-SIREN IN SCARLET.jpg,"[160.0, 26.0, 25.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[199.0, 76.0, 58.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-CLAY CRUSH.jpg,"[199.0, 76.0, 58.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[141.0, 23.0, 19.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Rich Ruby.jpg,"[141.0, 23.0, 19.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[180.0, 17.0, 18.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Dare to be Red.jpg,"[180.0, 17.0, 18.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[186.0, 32.0, 34.0]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-RED LIBERATION.jpg,"[186.0, 32.0, 34.0]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[167.90249999999997, 76.79383333333332, 61.52199999999999]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Touch of Spice.jpg,"[167.90249999999997, 76.79383333333332, 61.52199999999999]",warm
New York Color Sensational Creamy Matte Lipstick  Nude Nuance 657,"[[254.042, 75.15649999999998, 40.07216666666667]]",New York Color Sensational Creamy Matte Lipstick - Nude Nuance 657-Craving Coral.jpg,"[254.042, 75.15649999999998, 40.07216666666667]",warm
