Name,Price,Brand
New York Fit Me Matte+Poreless Liquid Foundation - 128 Warm Nude 30ml,Rs. 466,Maybelline
Perfecting Liquid Foundation - Natural Marble 27ml,Rs. 131,Lakme
New York Fit Me! Matte+Poreless Liquid Foundation - Natural Beige 220 30ml,Rs. 439,Maybelline
Paris True Match Liquid Foundation - N1 Ivory 30ml,Rs. 764,LOreal
New York Fit Me Matte+Poreless Liquid Foundation - 120 Classic Ivory 30ml,Rs. 439,Maybelline
9 to 5 Weightless Mousse Foundation - Beige Vanilla 6g,Rs. 136,Lakme
New York Fit Me! Matte+Poreless Liquid Foundation - 115 Ivory 30ml,Rs. 439,Maybelline
Paris True Match Liquid Foundation - Golden Beige D3W3 30ml,Rs. 737,LOreal
Absolute Mattreal Skin Natural Mousse with SPF 8 - Ivory Fair,Rs. 701,Lakme
New York Super Stay 24H Full Coverage Foundation - Natural Ivory 112 30ml,Rs. 600,Maybelline
Perfecting Liquid Foundation - Natural Pearl 27ml,Rs. 131,Lakme
Double Wear Stay-In-Place Makeup with SPF 10 - Alasbater 0N1 30ml,Rs. 3700,Estee Lauder
New York Super Stay 24H Full Coverage Foundation - Classic Ivory 120 30ml,Rs. 600,Maybelline
Weightless Matte Finish Mini Foundation Beige 03 18ml,Rs. 169,FACES CANADA
Absolute Mattreal Skin Natural Mousse - Golden Medium 25g,Rs. 701,Lakme
New York Fit Me Matte+Poreless Liquid Foundation - 310 Sun Beige 18ml,Rs. 254,Maybelline
New York Super Stay 24H Full Coverage Foundation - Warm Nude 128 30ml,Rs. 600,Maybelline
Paris Infallible 24H Fresh Wear Foundation - Golden Beige 140 30ml,Rs. 840,LOreal
9 to 5 01 Rose Ivory Weightless Mousse Foundation,Rs. 488,Lakme
New York Super Stay 24H Full Coverage Foundation - Sun Beige 310 30ml,Rs. 637,Maybelline
3.3 HD Liquid Foundation 30ml,Rs. 831,PAC
New York Fit Me Matte + Poreless Liquid Foundation Tube - Toffee 330 18ml,Rs. 224,Maybelline
Ultime Pro Second Skin Foundation Ivory 01 30ml,Rs. 1199,FACES CANADA
Perfecting Natural Coral Liquid Foundation,Rs. 131,Lakme
New York Super Stay 24H Full Coverage Liquid Foundation - Natural Beige 220,Rs. 600,Maybelline
Skin Long-Wear Weightless Foundation with SPF 15 - Honey (W-064/5) 30ml,Rs. 4300,Bobbi Brown
New York Fit Me Two Way Cake Powder Foundation with SPF 32 - Warm Nude 128,Rs. 492,Maybelline
New York Super Stay 24H Full Coverage Liquid Foundation - Golden 312,Rs. 600,Maybelline
Skin Long-wear Weightless Foundation SPF 15 - Natural Tan (N-054/4.25) 30ml,Rs. 4250,Bobbi Brown
Perfecting Natural Shell Liquid Foundation,Rs. 131,Lakme
Invisible Finish SPF 8 Foundation - 01 25ml,Rs. 238,Lakme
Skin Long-Wear Weightless Foundation with SPF 15 - Porcelain N-012/0,Rs. 4300,Bobbi Brown
Soft Touch Mousse Make-Up - 04,Rs. 409,essence
New York Fit Me Matte + Poreless Liquid Foundation - Natural Tan 320 30ml,Rs. 439,Maybelline
9 To 5 Primer And Matte Perfect Cover Foundation - Cool Rose C140 25 ml,Rs. 427,Lakme
Skin Foundation Stick - 5.5 Warm Honey 9 g,Rs. 4250,Bobbi Brown
9To5 Primer & Matte SPF 20 Perfect Cover Foundation - Neutral Nude N200 25ml,Rs. 403,Lakme
Fast Base Stick Foundation F9,Rs. 552,Makeup Revolution London
Absolute 9 to 5 Beige Vanilla Weightless Mousse Foundation 02,Rs. 488,Lakme
FE-03 Medium Olive Everyday Foundation 30ml,Rs. 325,Miss Claire
Studio Fix Fluid Foundation with SPF 15 - NC20 30ml,Rs. 2950,M.A.C
Skin Long-Wear Weightless Foundation SPF 15 - Golden Natural (W-058/4.75) 30ml,Rs. 4250,Bobbi Brown
Skin Perfect SPF 60 Foundation - Silken Glow 015 30ml,Rs. 760,Colorbar
Invisible Finish Foundation - 04,Rs. 280,Lakme
Triple Effect Makeup Foundation Concealer & Powder - Cafe 004,Rs. 570,Colorbar
9 To 5 Primer & Matte Perfect Cover Foundation - Warm Sand W160 25 ml,Rs. 403,Lakme
Primer Plus Mattifier 40ml,Rs. 3500,Bobbi Brown
Mini Skin Long Wear Weightless Foundation - Porcelain 13ml,Rs. 1990,Bobbi Brown
Double Wear Stay-In-Place Makeup with SPF 10 - Sand 1W2 15ml,Rs. 1800,Estee Lauder
